Case ID,Category,Status,Finding,Diagnosis,Root Cause,Evidence,Explanation,Recommended Solution,Confidence
NET-001,VLAN,FAIL,"Wrong access VLAN detected. Actual VLAN: 20, Expected VLAN: 10.",Wrong access VLAN.,"**Wrong access VLAN.**

PC1's switch port `Fa0/2` was assigned to VLAN 20 instead of the required VLAN 10.","The switch VLAN configuration was checked using:

```bash
show vlan brief
```

The actual output showed:

```text
10 STUDENTS active Fa0/1
20 WRONG_VLAN active Fa0/2
```

This confirms that PC1's port `Fa0/2` is assigned to the wrong VLAN.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"PC1's switch port was moved back to VLAN 10:

```bash
interface fa0/2
switchport mode access
switchport access vlan 10
```

The configuration was then verified using:

```bash
show vlan brief
```

The corrected result was:

```text
10 STUDENTS active Fa0/1, Fa0/2
```",HIGH
NET-002,VLAN,PASS,Required VLAN 20 exists.,Required VLAN missing.,,"The VLAN configuration was checked using:

```bash
show vlan brief
```

The result confirmed:

```text
20 STUDENTS active Fa0/1, Fa0/2
```

Connectivity was tested using:

```bash
ping 192.168.20.10
```

**Result:** 4 packets received, 0% packet loss. ✅",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"VLAN 20 was created and named `STUDENTS`.

```bash
vlan 20
name STUDENTS
````

The ports connected to both PCs were configured as access ports and assigned to VLAN 20:

```bash
interface fa0/1
switchport mode access
switchport access vlan 20

interface fa0/2
switchport mode access
switchport access vlan 20
```",MEDIUM
NET-003,VLAN,NOT_CHECKED,VLAN information for both PCs is unavailable.,Ports are in different VLANs.,"**PCs are in different VLANs.**

PC0 is connected to VLAN 10 while PC1 is connected to VLAN 20. Because there is no inter-VLAN routing in the topology, the PCs cannot communicate.","The VLAN configuration was checked using:

```bash
show vlan brief
```

The actual output showed:

```text
10 STUDENTS active Fa0/1
20 DIFFERENT_VLAN active Fa0/2
```

This shows that the two PC ports are assigned to different VLANs.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"PC1's switch port `Fa0/2` was moved from VLAN 20 to VLAN 10:

```bash
interface fa0/2
switchport mode access
switchport access vlan 10
```

The VLAN configuration was then verified using:

```bash
show vlan brief
```

The corrected result was:

```text
10 STUDENTS active Fa0/1, Fa0/2
```",MEDIUM
NET-004,VLAN,NOT_CHECKED,Actual and expected VLAN information is unavailable.,Port not assigned to intended VLAN.,,"# NET-004 – Port Left in Default VLAN

## Problem

A new PC was connected to the switch, but its switch port was still in the default VLAN 1 instead of the required student VLAN 10.

## Topology

- 1 Cisco 2960 Switch
- 2 PCs
- PC0 → Fa0/1
- PC1 → Fa0/2

## IP Configuration

**PC0:** `192.168.10.10 / 255.255.255.0`

**PC1:** `192.168.10.11 / 255.255.255.0`

## VLAN Configuration

VLAN 10 was created and named `STUDENTS`.

PC0's port was assigned to VLAN 10:

```bash
interface fa0/1
switchport mode access
switchport access vlan 10

PC1's port was initially left in the default VLAN 1.

Problem Verification

The VLAN configuration was checked using:

show vlan brief

The result showed:

Fa0/1 → VLAN 10
Fa0/2 → VLAN 1

Therefore, the two PCs were placed in different VLANs.

Wrong VLAN Configuration

Connectivity Test

The following command was used:

ping 192.168.10.11

The ping initially failed because PC0 and PC1 were connected to different VLANs.

Failed Ping

Solution

PC1's switch port Fa0/2 was configured as an access port and assigned to VLAN 10:

interface fa0/2
switchport mode access
switchport access vlan 10
Verification

The VLAN configuration was checked again:

show vlan brief

The result showed:

10 STUDENTS active Fa0/1, Fa0/2

Both PC ports were now in VLAN 10.

Correct VLAN Configuration

Final Connectivity Test

The ping was performed again:

ping 192.168.10.11

The result was successful with:

Packets Sent = 4
Received = 4
Lost = 0
Successful Ping

Result

The problem was successfully resolved by moving PC1's switch port from the default VLAN 1 to VLAN 10.

Both PCs were then in the same VLAN and could communicate successfully.

What I Learned
The default VLAN on a switch is VLAN 1.
A switch port can be assigned to a specific VLAN.
Two PCs in different VLANs cannot communicate directly at Layer 2.
show vlan brief can be used to check VLAN and port assignments.
ping can be used to verify connectivity.

![alt text](image.png)
![alt text](image-1.png)
![alt text](image-2.png)
![alt text](image-3.png)",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-005,VLAN,FAIL,Inter-switch link is not trunking.,Inter-switch link is not trunking.,,"# NET-005 – Simple Trunk Problem

## Problem

Two PCs were connected to two different switches. Both PCs were configured in VLAN 10, but the inter-switch link was not configured as a trunk.

Because of this, the same VLAN could not communicate properly across the two switches.

## Topology

- 2 Cisco 2960 Switches
- 2 PCs
- SW1 Fa0/1 → PC0
- SW2 Fa0/1 → PC1
- SW1 Fa0/24 → SW2 Fa0/24

## IP Configuration

**PC0:** `192.168.10.10 / 255.255.255.0`

**PC1:** `192.168.10.11 / 255.255.255.0`

## VLAN Configuration

VLAN 10 was created on both switches and named `STUDENTS`.

PC0 was assigned to VLAN 10:

```bash
interface fa0/1
switchport mode access
switchport access vlan 10

PC1 was also assigned to VLAN 10:

interface fa0/1
switchport mode access
switchport access vlan 10
Problem Verification

The inter-switch connection was checked using:

show interfaces trunk

The inter-switch port was not shown as a trunk.

Trunk Not Configured

Connectivity Test

The following command was used from PC0:

ping 192.168.10.11

The ping initially failed because the inter-switch link was not configured as a trunk.

Ping Failed

Solution

The inter-switch port Fa0/24 was configured as a trunk on both switches.

SW1
interface fa0/24
switchport mode trunk
SW2
interface fa0/24
switchport mode trunk
Verification

The trunk configuration was checked using:

show interfaces trunk

The inter-switch port was now operating as a trunk.

Trunk Configured

Final Connectivity Test

The ping was performed again:

ping 192.168.10.11

The result was successful with:

Packets Sent = 4
Received = 4
Lost = 0
Successful Ping

Result

The inter-switch link was successfully configured as a trunk.

Both switches were able to carry VLAN 10 traffic across the link, and PC0 successfully communicated with PC1.

What I Learned
What a trunk port is.
Why a trunk is needed between switches when carrying VLAN traffic.
How to configure a switch port as a trunk.
How to verify trunk configuration using show interfaces trunk.
How to test connectivity using ping.

![alt text](image.png)
![alt text](image-1.png)",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,HIGH
NET-006,Gateway,FAIL,Default gateway is missing.,Missing default gateway,"**Missing default gateway.**

PC0 had no default gateway configured, so it could communicate with devices on its local network but could not forward traffic to the remote network `192.168.2.0/24`.","The PC configuration was checked using:

```bash
ipconfig
```

The actual evidence showed:

```text
IPv4 Address: 192.168.1.10
Subnet Mask: 255.255.255.0
Default Gateway: 0.0.0.0
```

The `Default Gateway: 0.0.0.0` value proves that the default gateway was missing.","The PC does not have a valid default gateway. The evidence shows gateway value '0.0.0.0'. Without a valid gateway, the PC cannot forward traffic to remote networks.",Configure the PC with the router's LAN interface IP address as its default gateway.,HIGH
NET-007,Gateway,FAIL,"Wrong default gateway. Configured: 192.168.10.254, Expected: 192.168.10.1.",Wrong default gateway,,"# NET-007 – Wrong Default Gateway

## Problem

PC0 cannot reach another network because its default gateway is incorrectly configured.

## Topology

- 1 Router
- 2 Cisco 2960 Switches
- 2 PCs

```text
PC0 ── SW1 ── Router ── SW2 ── PC1
IP Configuration

PC0

IP Address: 192.168.10.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.254 ❌

PC1

IP Address: 192.168.20.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.20.1

Router

G0/0: 192.168.10.1
G0/1: 192.168.20.1
Problem Verification

The PC configuration was checked using:

ipconfig

PC0 was using:

Default Gateway: 192.168.10.254

However, the correct router interface was:

192.168.10.1
Wrong Gateway

Connectivity Test

The remote network was tested using:

ping 192.168.20.10

The ping failed because the default gateway was incorrect.

Ping Failed

Solution

The default gateway of PC0 was changed from:

192.168.10.254

to:

192.168.10.1
Verification

The configuration was checked again using:

ipconfig

The correct gateway was displayed.

Correct Gateway

Final Connectivity Test

The remote network was tested again:

ping 192.168.20.10

The ping was successful with:

Packets Sent = 4
Received = 4
Lost = 0
Successful Ping

Result

The wrong default gateway was identified and corrected.

After configuring the correct gateway, PC0 was able to communicate with the remote network successfully.

What I Learned
What a default gateway is.
Why a gateway is required to reach another network.
How to check gateway information using ipconfig.
How an incorrect gateway can cause remote connectivity problems.
How to verify connectivity using ping.

![alt text](image.png)","The PC is configured with default gateway 192.168.10.254, but the evidence indicates that the router LAN interface uses a different address.",Change the PC's default gateway to the correct router LAN interface address.,HIGH
NET-008,Gateway,FAIL,Gateway interface is administratively down.,Gateway interface is down,,"The router interface status was checked using:

```bash
show ip interface brief
```

The output showed:

```text
GigabitEthernet0/0 192.168.10.1 administratively down
```

This is the main evidence for the case.","The router's LAN interface is administratively down. Therefore, the PC cannot communicate with its default gateway.",Enter the affected router interface and use 'no shutdown' to enable it.,HIGH
NET-009,Gateway,FAIL,"Gateway IP mismatch. PC gateway: 192.168.10.254, Router LAN IP: 192.168.10.1.",Gateway IP mismatch,,"# NET-009 – Gateway IP Mismatch

## Problem

The PC has a default gateway configured, but it cannot reach the router because the gateway address does not match the router's LAN IP.

## Topology

```text
PC0 ─── Switch0 ─── Router0

Devices used:

1 PC
1 Cisco 2960 Switch
1 Cisco 1941 Router
IP Configuration
Router0

Interface:

GigabitEthernet0/0
IP Address: 192.168.10.1
Subnet Mask: 255.255.255.0
PC0

Initial configuration:

IP Address: 192.168.10.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.10.254

The gateway 192.168.10.254 is intentionally incorrect.

Evidence Collection

The router interface was checked using:

show ip interface brief

The router LAN interface was found as:

GigabitEthernet0/0
192.168.10.1
Router Interface

The PC configuration was checked using:

ipconfig

The PC had:

Default Gateway: 192.168.10.254
Wrong Gateway

Root Cause

The PC's gateway and the router's LAN IP were different.

PC Gateway: 192.168.10.254 ❌
Router LAN IP: 192.168.10.1 ✅

Therefore, the problem was a Gateway IP Mismatch.

Solution

The PC's default gateway was changed from:

192.168.10.254

to:

192.168.10.1
Verification

The PC configuration was checked again using:

ipconfig

The correct gateway was displayed:

Default Gateway: 192.168.10.1
Correct Gateway

The connection was tested using:

ping 192.168.10.1

The ping was successful.

Successful Ping

Result

The gateway IP mismatch was successfully identified and fixed.

After configuring the PC with the correct gateway address, the PC was able to communicate with the router.

What I Learned
How to configure a router LAN interface.
How to check router interface information using show ip interface brief.
How to check PC network configuration using ipconfig.
What a default gateway is.
How to identify a gateway IP mismatch.
How to verify connectivity using ping.

![alt text](image.png)
![alt text](image-1.png)","The router LAN interface is using 192.168.10.1, while the PC's configured gateway is different. Therefore, the PC cannot correctly reach its gateway.",Configure the PC's default gateway as 192.168.10.1.,HIGH
NET-010,DHCP,FAIL,DHCP pool is missing.,DHCP pool missing.,,"PC0 was tested using:

```bash
ipconfig /release
ipconfig /renew
ipconfig
```

The result showed:

```text
DHCP request failed.
IPv4 Address : 0.0.0.0
Subnet Mask : 0.0.0.0
Default Gateway : 0.0.0.0
```

**Result:** The PC could not obtain a usable IP address because the DHCP pool was missing. ✅",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"The DHCP pool was intentionally left missing to create the required test-case condition.

The DHCP configuration was checked using:

```bash
show ip dhcp pool
```

No DHCP pool was displayed.

The running configuration was checked using:

```bash
show running-config
```

No matching DHCP pool configuration was present.",HIGH
