Case ID,Category,Case Title,Symptom,Topology / Devices,Show Output / Evidence to Collect,Expected Evidence / Result,Expected Fault / Root Cause,OSI Layer,Concept Tag,Severity,Expected Fix / Fix Steps
NET-001,VLAN,Wrong access VLAN,2 PCs should communicate but ping fails.,1 switch + 2 PCs; both should be VLAN 10.,show vlan brief,PC port appears under wrong VLAN.,Wrong access VLAN.,Layer 2,VLAN,Low,Assign correct VLAN and verify ping.
NET-002,VLAN,VLAN not created,PC cannot communicate after port is configured for VLAN 20.,1 switch + 2 PCs; VLAN 20 required.,show vlan brief,VLAN 20 is absent.,Required VLAN missing.,Layer 2,VLAN,Low,Create VLAN 20 and assign port.
NET-003,VLAN,PCs in different VLANs,Two PCs that should communicate cannot ping.,1 switch + 2 PCs; both should be VLAN 10.,show vlan brief,One port is VLAN 10 and the other is VLAN 20.,Ports are in different VLANs.,Layer 2,VLAN,Low,Put both ports in the same VLAN.
NET-004,VLAN,Port left in default VLAN,New PC cannot reach student VLAN.,1 switch + 2 PCs; student VLAN 10.,show vlan brief,PC port is still in VLAN 1.,Port not assigned to intended VLAN.,Layer 2,VLAN,Low,Configure access VLAN 10.
NET-005,VLAN,Simple trunk problem,Same VLAN on two switches cannot communicate.,2 switches + 2 PCs; VLAN 10 on both.,show interfaces trunk; show vlan brief,Inter-switch link is not shown as trunk.,Inter-switch link is not trunking.,Layer 2,VLAN/Trunk,Medium,Configure the inter-switch link as trunk.
NET-006,Gateway,Missing default gateway,Local ping works but remote network fails.,1 router + 2 LANs + PCs.,ipconfig,Gateway is blank/0.0.0.0.,Default gateway missing.,Layer 3,Gateway,Low,Set PC gateway to router LAN IP.
NET-007,Gateway,Wrong default gateway,PC cannot reach another network.,1 router + 2 LANs + PCs.,ipconfig,Gateway does not match local router interface.,Wrong default gateway.,Layer 3,Gateway,Low,Configure correct gateway.
NET-008,Gateway,Gateway interface down,PC cannot ping its router.,1 router + switch + PC.,show ip interface brief,LAN interface is administratively down.,Gateway interface shutdown.,Layer 3,Gateway,Low,Use no shutdown.
NET-009,Gateway,Gateway IP mismatch,PC has gateway but cannot reach it.,1 router + switch + PC.,ipconfig; show ip interface brief,PC gateway differs from router LAN IP.,Gateway address mismatch.,Layer 3,Gateway,Low,Make gateway match router LAN IP.
NET-010,DHCP,DHCP pool missing,PC using DHCP gets no usable IP.,1 router + switch + PC.,ipconfig; show running-config,No matching DHCP pool exists.,DHCP pool missing.,Layer 3,DHCP,Low,Create matching DHCP pool.
NET-011,DHCP,Wrong DHCP network,PC receives wrong/unusable subnet.,1 router + switch + PC.,ipconfig; show running-config,DHCP pool network differs from LAN.,Wrong DHCP network.,Layer 3,DHCP,Low,Correct pool network and mask.
NET-012,DHCP,Wrong DHCP gateway,PC gets IP but cannot reach remote network.,1 router + switch + PC.,ipconfig; show running-config,Received gateway is wrong.,Wrong DHCP default-router.,Layer 3,DHCP,Low,Correct default-router in pool.
NET-013,DHCP,Wrong DHCP DNS,IP connectivity works but names fail.,1 router + switch + PC + DNS.,ipconfig; show running-config,Received DNS address is wrong.,Wrong DHCP DNS server.,Layer 3/7,DHCP/DNS,Low,Correct DNS server in pool.
NET-014,DNS,Wrong DNS server,IP ping works but hostname ping fails.,PC + DNS server.,ipconfig,DNS field contains wrong address.,Wrong DNS server.,Layer 7,DNS,Low,Set correct DNS address.
NET-015,DNS,DNS service disabled,Hostname cannot be resolved.,PC + DNS server.,DNS Server > Services > DNS,DNS service is Off.,DNS service disabled.,Layer 7,DNS,Low,Turn DNS service On.
NET-016,DNS,DNS record missing,One hostname cannot be resolved.,PC + DNS server.,DNS Services; nslookup,Required hostname record is absent.,DNS record missing.,Layer 7,DNS,Low,Add hostname-to-IP record.
NET-017,Routing,Missing static route,Remote network cannot be reached.,2 routers + 2 LANs + PCs.,show ip route,Remote network is absent from route table.,Static route missing.,Layer 3,Routing,Medium,Add route to remote network.
NET-018,Routing,Wrong static route,Remote network unreachable even though route exists.,2 routers + 2 LANs.,show ip route,Route points to wrong next hop.,Wrong next hop.,Layer 3,Routing,Medium,Correct next-hop address.
NET-019,Routing,Router interface down,Routed link cannot communicate.,2 routers connected by link.,show ip interface brief,Required interface is administratively down.,Interface shutdown.,Layer 3,Routing,Low,Use no shutdown.
