Case ID,Category,Expected Fault,Rule,Status,Finding,Diagnosis,Explanation,Recommended Solution
NET-001,VLAN,Wrong access VLAN.,VLAN Checker,FAIL,"Wrong access VLAN detected. Actual VLAN: 20, Expected VLAN: 10.",Wrong access VLAN,The switch port is assigned to an incorrect VLAN. The PC should be connected to the required VLAN.,Configure the affected switch port as an access port and assign it to the correct VLAN.
NET-002,VLAN,Required VLAN missing.,VLAN Checker,PASS,Required VLAN 20 exists.,Required VLAN missing,The required VLAN does not exist on the switch.,Create the required VLAN and assign the appropriate switch ports to it.
NET-003,VLAN,Ports are in different VLANs.,VLAN Checker,NOT_CHECKED,VLAN information for both PCs is unavailable.,Ports are in different VLANs,"The connected devices are placed in different VLANs, preventing normal Layer-2 communication.",Assign the relevant switch ports to the same VLAN.
NET-004,VLAN,Port not assigned to intended VLAN.,VLAN Checker,NOT_CHECKED,Actual and expected VLAN information is unavailable.,Port assigned to wrong VLAN,The affected switch port is not assigned to the intended VLAN.,Change the switch port configuration and assign it to the intended VLAN.
NET-005,VLAN,Inter-switch link is not trunking.,VLAN Checker,FAIL,Inter-switch link is not trunking.,Inter-switch link is not trunking,The link between switches is not correctly configured as a trunk.,Configure the inter-switch interface as a trunk and allow the required VLANs.
NET-006,Gateway,Default gateway missing.,Gateway Checker,FAIL,Default gateway is missing.,Missing default gateway,"The PC does not have a valid default gateway. Therefore, it cannot forward traffic to remote networks.",Configure the PC's default gateway with the IP address of the router's LAN interface.
NET-007,Gateway,Wrong default gateway.,Gateway Checker,FAIL,"Wrong default gateway. Configured: 192.168.10.254, Expected: 192.168.10.1.",Wrong default gateway,The configured default gateway does not match the router interface serving the PC's network.,Replace the incorrect gateway with the correct router LAN interface address.
NET-008,Gateway,Gateway interface shutdown.,Gateway Checker,FAIL,Gateway interface is administratively down.,Gateway interface is down,"The router's LAN interface is administratively down, so the PC cannot communicate with its gateway.",Enter the router interface configuration and use 'no shutdown' to enable the interface.
NET-009,Gateway,Gateway address mismatch.,Gateway Checker,FAIL,"Gateway IP mismatch. PC gateway: 192.168.10.254, Router LAN IP: 192.168.10.1.",Gateway IP mismatch,The PC's configured gateway address does not match the router's LAN interface IP address.,Configure the PC with the router's correct LAN interface IP as its default gateway.
NET-010,DHCP,DHCP pool missing.,DHCP Checker,FAIL,DHCP pool is missing.,DHCP pool missing,"The router does not contain the required DHCP pool, so clients cannot obtain IP configuration.",Create and configure the required DHCP pool on the router.
NET-011,DHCP,Wrong DHCP network.,DHCP Checker,NOT_CHECKED,DHCP network information is unavailable.,Wrong DHCP network,The DHCP pool is configured for an incorrect network.,Configure the DHCP pool with the correct network and subnet mask.
NET-012,DHCP,Wrong DHCP default-router.,DHCP Checker,NOT_CHECKED,DHCP default-router information is unavailable.,Wrong DHCP default-router,The DHCP pool provides an incorrect default gateway to clients.,Configure the DHCP pool with the correct default-router address.
NET-013,DHCP,Wrong DHCP DNS server.,DHCP Checker,NOT_CHECKED,DHCP DNS information is unavailable.,Wrong DHCP DNS server,The DHCP configuration provides an incorrect DNS server address to clients.,Configure the correct DNS server address in the DHCP pool.
NET-014,DNS,Wrong DNS server.,DNS Checker,NOT_CHECKED,DNS server information is unavailable.,Wrong DNS server,The client is configured to use an incorrect DNS server.,Configure the client or DHCP pool with the correct DNS server address.
NET-015,DNS,DNS service disabled.,DNS Checker,NOT_CHECKED,DNS service status is unavailable.,DNS service disabled,"The DNS service is disabled, so hostname resolution cannot work.",Enable the DNS service on the configured DNS server.
NET-016,DNS,DNS record missing.,DNS Checker,NOT_CHECKED,DNS record information is unavailable.,DNS record missing,"The required DNS record does not exist, so the hostname cannot be resolved.",Create the required DNS record and verify name resolution.
NET-017,Routing,Static route missing.,Route Checker,FAIL,Required static route is missing.,Static route missing,The router does not contain the required route to the destination network.,Add the required static route using the correct destination network and next hop.
NET-018,Routing,Wrong next hop.,Route Checker,NOT_CHECKED,Next-hop information is unavailable.,Wrong next hop,The static route uses an incorrect next-hop address.,Modify the static route and configure the correct next-hop address.
NET-019,Routing,Interface shutdown.,Route Checker,FAIL,Router interface is administratively down.,Router interface down,The router interface connecting the routed link is administratively down.,Enter the affected interface and use 'no shutdown' to restore it.
NET-020,Routing,Default route missing.,Route Checker,FAIL,Default route is missing.,Default route missing,The router does not have a default route for unknown destination networks.,Configure the appropriate default route toward the upstream router.
NET-021,ACL,ACL blocks ICMP.,ACL Checker,FAIL,ACL is blocking ICMP traffic.,ACL blocks ICMP,"The ACL contains a rule that denies ICMP traffic, causing ping requests to fail.",Modify the ACL so that required ICMP traffic is permitted.
NET-022,ACL,ACL blocks HTTP.,ACL Checker,FAIL,ACL is blocking HTTP traffic.,ACL blocks HTTP,The ACL blocks HTTP traffic between the client and web server.,Modify the ACL to permit the required HTTP traffic.
NET-023,ACL,ACL placement is wrong.,ACL Checker,FAIL,ACL placement is incorrect.,ACL applied in wrong direction or interface,"The ACL is applied to an incorrect interface or direction, causing unintended traffic filtering.",Apply the ACL to the correct interface and direction.
NET-024,NAT,NAT missing.,NAT Checker,NOT_CHECKED,NAT configuration information is unavailable.,NAT not configured,"Network Address Translation is missing, so internal addresses cannot be translated for external communication.",Configure the required NAT rules and identify the inside and outside interfaces.
NET-025,NAT,NAT interface roles wrong.,NAT Checker,NOT_CHECKED,NAT interface role information is unavailable.,NAT inside/outside roles incorrect,The router interfaces have incorrect NAT inside/outside roles.,Configure the correct interfaces as NAT inside and NAT outside.
NET-026,NAT,NAT ACL mismatch.,NAT Checker,NOT_CHECKED,NAT ACL information is unavailable.,NAT ACL mismatch,The ACL used by NAT does not correctly identify the internal addresses that require translation.,Correct the NAT ACL so that the intended internal network is permitted.
NET-027,Wireless,Wrong SSID.,Wireless Checker,NOT_CHECKED,SSID information is unavailable.,Wrong SSID,The configured wireless network name does not match the intended SSID.,Configure the Access Point with the correct SSID and reconnect the wireless client.
NET-028,Wireless,Wrong wireless password.,Wireless Checker,NOT_CHECKED,Wireless password information is unavailable.,Wrong wireless password,The wireless password configured or entered by the client does not match.,Configure and use the correct wireless security password.
NET-029,Wireless,Wireless DHCP/network problem.,Wireless Checker,NOT_CHECKED,Wireless network information is unavailable.,Wireless DHCP/network problem,The wireless client is unable to obtain a valid network configuration.,"Check wireless connectivity, DHCP configuration, IP addressing, and network settings."
NET-030,Wireless,AP port VLAN mismatch.,VLAN Checker,NOT_CHECKED,AP VLAN information is unavailable.,AP port VLAN mismatch,The switch port connected to the Access Point is assigned to an incorrect VLAN.,Assign the AP switch port to the correct VLAN.
