Case ID,Category,Expected Fault,Rule,Status,Finding,Category_diagnosis,Expected Fault_diagnosis,Rule_diagnosis,Status_diagnosis,Finding_diagnosis,Diagnosis,Explanation,Recommended Solution,Status_explanation,Finding_explanation,Explanation_explanation
NET-001,VLAN,Wrong access VLAN.,VLAN Checker,FAIL,"Wrong access VLAN detected. Actual VLAN: 20, Expected VLAN: 10.",VLAN,Wrong access VLAN.,VLAN Checker,FAIL,"Wrong access VLAN detected. Actual VLAN: 20, Expected VLAN: 10.",Wrong access VLAN,The switch port is assigned to an incorrect VLAN. The PC should be connected to the required VLAN.,Configure the affected switch port as an access port and assign it to the correct VLAN.,FAIL,"Wrong access VLAN detected. Actual VLAN: 20, Expected VLAN: 10.","NET-001: A network problem was detected. Finding: Wrong access VLAN detected. Actual VLAN: 20, Expected VLAN: 10.. The configuration should be corrected according to the identified fault."
NET-002,VLAN,Required VLAN missing.,VLAN Checker,PASS,Required VLAN 20 exists.,VLAN,Required VLAN missing.,VLAN Checker,PASS,Required VLAN 20 exists.,Required VLAN missing,The required VLAN does not exist on the switch.,Create the required VLAN and assign the appropriate switch ports to it.,PASS,Required VLAN 20 exists.,NET-002: The network configuration was checked successfully. No problem was detected for this case.
NET-003,VLAN,Ports are in different VLANs.,VLAN Checker,NOT_CHECKED,VLAN information for both PCs is unavailable.,VLAN,Ports are in different VLANs.,VLAN Checker,NOT_CHECKED,VLAN information for both PCs is unavailable.,Ports are in different VLANs,"The connected devices are placed in different VLANs, preventing normal Layer-2 communication.",Assign the relevant switch ports to the same VLAN.,NOT_CHECKED,VLAN information for both PCs is unavailable.,NET-003: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-004,VLAN,Port not assigned to intended VLAN.,VLAN Checker,NOT_CHECKED,Actual and expected VLAN information is unavailable.,VLAN,Port not assigned to intended VLAN.,VLAN Checker,NOT_CHECKED,Actual and expected VLAN information is unavailable.,Port assigned to wrong VLAN,The affected switch port is not assigned to the intended VLAN.,Change the switch port configuration and assign it to the intended VLAN.,NOT_CHECKED,Actual and expected VLAN information is unavailable.,NET-004: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-005,VLAN,Inter-switch link is not trunking.,VLAN Checker,FAIL,Inter-switch link is not trunking.,VLAN,Inter-switch link is not trunking.,VLAN Checker,FAIL,Inter-switch link is not trunking.,Inter-switch link is not trunking,The link between switches is not correctly configured as a trunk.,Configure the inter-switch interface as a trunk and allow the required VLANs.,FAIL,Inter-switch link is not trunking.,NET-005: A network problem was detected. Finding: Inter-switch link is not trunking.. The configuration should be corrected according to the identified fault.
NET-006,Gateway,Default gateway missing.,Gateway Checker,FAIL,Default gateway is missing.,Gateway,Default gateway missing.,Gateway Checker,FAIL,Default gateway is missing.,Missing default gateway,"The PC does not have a valid default gateway. Therefore, it cannot forward traffic to remote networks.",Configure the PC's default gateway with the IP address of the router's LAN interface.,FAIL,Default gateway is missing.,NET-006: A network problem was detected. Finding: Default gateway is missing.. The configuration should be corrected according to the identified fault.
NET-007,Gateway,Wrong default gateway.,Gateway Checker,FAIL,"Wrong default gateway. Configured: 192.168.10.254, Expected: 192.168.10.1.",Gateway,Wrong default gateway.,Gateway Checker,FAIL,"Wrong default gateway. Configured: 192.168.10.254, Expected: 192.168.10.1.",Wrong default gateway,The configured default gateway does not match the router interface serving the PC's network.,Replace the incorrect gateway with the correct router LAN interface address.,FAIL,"Wrong default gateway. Configured: 192.168.10.254, Expected: 192.168.10.1.","NET-007: A network problem was detected. Finding: Wrong default gateway. Configured: 192.168.10.254, Expected: 192.168.10.1.. The configuration should be corrected according to the identified fault."
NET-008,Gateway,Gateway interface shutdown.,Gateway Checker,FAIL,Gateway interface is administratively down.,Gateway,Gateway interface shutdown.,Gateway Checker,FAIL,Gateway interface is administratively down.,Gateway interface is down,"The router's LAN interface is administratively down, so the PC cannot communicate with its gateway.",Enter the router interface configuration and use 'no shutdown' to enable the interface.,FAIL,Gateway interface is administratively down.,NET-008: A network problem was detected. Finding: Gateway interface is administratively down.. The configuration should be corrected according to the identified fault.
NET-009,Gateway,Gateway address mismatch.,Gateway Checker,FAIL,"Gateway IP mismatch. PC gateway: 192.168.10.254, Router LAN IP: 192.168.10.1.",Gateway,Gateway address mismatch.,Gateway Checker,FAIL,"Gateway IP mismatch. PC gateway: 192.168.10.254, Router LAN IP: 192.168.10.1.",Gateway IP mismatch,The PC's configured gateway address does not match the router's LAN interface IP address.,Configure the PC with the router's correct LAN interface IP as its default gateway.,FAIL,"Gateway IP mismatch. PC gateway: 192.168.10.254, Router LAN IP: 192.168.10.1.","NET-009: A network problem was detected. Finding: Gateway IP mismatch. PC gateway: 192.168.10.254, Router LAN IP: 192.168.10.1.. The configuration should be corrected according to the identified fault."
NET-010,DHCP,DHCP pool missing.,DHCP Checker,FAIL,DHCP pool is missing.,DHCP,DHCP pool missing.,DHCP Checker,FAIL,DHCP pool is missing.,DHCP pool missing,"The router does not contain the required DHCP pool, so clients cannot obtain IP configuration.",Create and configure the required DHCP pool on the router.,FAIL,DHCP pool is missing.,NET-010: A network problem was detected. Finding: DHCP pool is missing.. The configuration should be corrected according to the identified fault.
